Facility,Number,Address,Website
The Bluebird Nightclub,812.336.3984,"216 North Walnut Street, Bloomington, IN 47408",http://www.thebluebird.ws/
Kilroy's Bar & Grill: Sports Bar,812.333.6006,"319 North Walnut Street, Bloomington, IN 47404",http://www.kilroyssports.com/
Yogi's Bar & Grill,812.323.9644,"519 East 10th Street, Bloomington, IN 47408",http://www.yogis.com/
House Bar,812.339.5646,"813 North Walnut Street, Bloomington, IN 47404"
The Irish Lion,812.336.9076,"212 West Kirkwood Avenue, Bloomington, IN 47404",http://www.irishlion.com/
Upland Brew Pub,812.336.2337,"350 West 11th Street, Bloomington, IN 47404",http://uplandbeer.com/
Jake's Night Club,812.332.0402,"419 North Walnut Street, Bloomington, IN, 47404",http://jakesnightclub.com/
Crazy Horse,812.336.8877,"214 West Kirkwood Avenue, Bloomington, IN 47404",http://www.crazyhorseindiana.com/
Nick's English Pub,812.332.4040,"423 East Kirkwood Avenue, Bloomington, IN 47408",http://www.nicksenglishhut.com/
Kilroy's on Kirkwood,812.339.3006,"502 East Kirkwood Avenue, Bloomington, IN 47408",http://www.kilroyskirkwood.com/
Indiana University Auditorium,812.855.1103,"1211 East 7th Street, Bloomington, IN 47405",http://www.iuauditorium.com/site/index.html
Memorial Stadium,,"701 East 17th Street, Bloomington, IN 47408",http://iuhoosiers.cstv.com/index-main.html
"Sembower Field, Men's Stadium",,"1200 North Fee Lane, Bloomington, IN 47408",http://iuhoosiers.cstv.com/index-main.html
Indiana University Golf Course,812.855.7543,"1350 South State Road 446, Bloomington, IN 47401",http://iuhoosiers.cstv.com/index-main.html
Tennis Center,812.855.5750,"1833 North Fee Lane, Bloomington, IN 47408",http://www.indiana.edu/~tnscntr/
"Sembower Field, Women's Stadium",,"1200 North Fee Lane, Bloomington, IN 47408",http://iuhoosiers.cstv.com/index-main.html
Counsilman Billingsley Aquatic Center,,"1601 East Law Lane, Bloomington, IN 47408",http://iuhoosiers.cstv.com/index-main.html
Lee Norvell Theatre and Drama,812.855.5382,"275 North Jordan Avenue, Bloomington, In 47405",http://www.indiana.edu/~thtr/index.shtml
Bloomington Convention Center,812.336.3681,"302 College Avenue, Bloomington, IN 47408",http://www.bloomingtonconvention.com/
The Bishop,812.333.4700,"123 South Walnut Street, Bloomington, IN 47404",http://www.thebishopbar.com/
Buskirk Chumley Theater,812.323.3020,"114 East Kirkwood Avenue, Bloomington, IN 47408",http://www.buskirkchumley.org/
Indiana University Art Muesum,812.855.5445,"1133 East 7th Street, Bloomington, IN 47405",http://www.indiana.edu/~iuam/iuam_home.php
Indiana University Cinema,812.855.7632,"1213 East 7th Street, Bloomington, IN 47405",http://www.indiana.edu/~iucinema/
The Upstairs Pub,812.333.3003,"430 East Kirkwood Avenue, Bloomington, IN 47408",http://www.upstairspub.com/
Bloomington Speedway,812.824.7400,"5185 South Fairfox Road, Bloomington, IN 47401",http://www.bloomingtonspeedway.com/
Eagle Pointe Golf Resort,812.824.4040,"2250 East Pointe Road, Bloomington, IN 47401",http://www.eaglepointe.com/
Henke Hall of Champions,,"701 East 17th Street, Bloomington, IN 47408",http://iuhoosiers.cstv.com/index-main.html
Bloomington Playwrights Project,812.334.1188,"107 West 9th Street, Bloomington, IN 47404",http://newplays.org/cmsms/home
Tibetan Mongolian Buddhist Cultural Center,812.336.6807,"3655 South Snoddy Road, Bloomington, IN 47401",http://www.tibetancc.com/info/index.asp
Monroe County History Center,812.332.2517,"202 East 6th Street, Bloomington, IN 47408",http://www.monroehistory.org/
Monroe County Fairgroudns,,"2800 South Kirby Road, Bloomington, IN 47403"
Billy Hayes Track - Robert C. Haugh Outdoor Track,,"East of North Fee Lane across from Assembly Hall and Gladstein Fieldhouse, Bloomington, IN 47406",http://iuhoosiers.cstv.com/sports/m-track/ind-m-track-body-main.html
John Waldron Auditorium,812.330.4400,"122 South Walnut Street, Bloomington, IN 47404",http://www.artlives.org/
IU Musical Arts Center,812.855.7433,"101 North Jordan Avenue, Bloomington, IN 47406",http://www.music.indiana.edu/
Bell Tower Fields,,"1200 N Jordan, Bloomington, IN 47406
",http://www.glowfesttour.com/
Bill Armstrong Stadium,,"1601 N Fee Ln, Bloomington, IN 47408",http://iuhoosiers.cstv.com/index-main.html
The Trojan Horse,812.332.1101,"100 East Kirkwood Avenue, Bloomington, IN 47408",http://www.thetrojanhorse.com/
Coaches Bar & Grill,812.339.3537,"245 North College Avenue, Bloomington, IN 47404",http://www.coachesiu.com/
Bear's Place,812.339.3460,"1316 East 3rd Street, Bloomington, IN 47401",http://www.bearsplacebar.com/
Scotty's Brewhouse,812.333.5151,"302 North Walnut Street, Bloomington, IN 47404",http://www.scottysbrewhouse.com/locations/bloomington
The Office Lounge,812.332.0911,"3900 East Third Street, Bloomington, IN 47401"
Serendipity - Martini Bar & Restaurant,812.287.8066,"201 South College Avenue, Bloomington, IN, 47404",http://www.serendipitymartini.com/
Brothers Bar & Grill,812.331.1000,"215 North Walnut Street, Bloomington, IN 47404",http://www.brothersbar.com/location_home.cfm
The Alley Bar,812.336.2216,"210 West Kirkwood Avenue, Bloomington, IN 47404",http://www.alleybarindiana.com/
Video Saloon - The Vid,812.333.0064,"105 West 7th Street, Bloomington, IN 47404",http://www.thevidbloomington.com/
Uncle Elizabeth's,812.331.0060,"1614 West 3rd Street, Bloomington, IN 47404",http://www.uncle-elizabeths.com/
The Atlas,812.334.4435,"209 South College Avenue, Bloomington, IN 47404",http://www.atlasballroom.com/
Malibu Grill,812.332.4334,"106 North Walnut Street, Bloomington, IN 47404",http://www.malibugrill.net/
Uncle Festers Jungle Room,812.323.1023,"430 East Kirkwood, Bloomington, IN 47408"
Mother Bear's Pizza,812.332.4495,1428 East 3rd Street,http://www.motherbearspizza.com/
Uptown Cafe,812.339.0900,"102 East Kirkwood Avenue, Bloomington, IN 47408",http://www.the-uptown.com/
